,to_id,from_id,date,post
144,7110301,7110301,1460819771,Дорогие айтишники Большое спасибо всем кто поучаствовал в первой части исследования профессиональной мотивации специалистов ответил на вопросы интервью Сегодня я запускаю вторую часть количественную Моя амбициозная задача собрать больше ответов за две недели Очень надеюсь на вашу помощь Если вы разработчик системный администратор менеджер проектов или другой представитель сферы ответьте пожалуйста на вопросы трех тестов это займет порядка минут Если у вас в друзьях есть представители сферы сделайте пожалуйста репост Обязательно поделюсь общими результатами Всем большое спасибо 
145,7110301,7110301,1460575920,Весеннее обострение у всех проходит по разному У меня вот появляется непреодолимая тяга проводить исследования Нынешнее посвящено тому как люди находят друг друга и общаются в Интернете Пожалуйста поучаствуйте Ответы на все вопросы занимают примерно минут я специально выбирал короткие и максимально интересные методики Если будет интересно после завершения сбора данных я смогу выслать желающим их результаты красивые с графичками Пожалуйста репоост 
147,7110301,7110301,1460462820,В детстве я думал что День космонавтики это от слова космонавтик 
149,7110301,7110301,1460142768,Многие спрашивают можно ли приходить если не были на предыдущих встречах Да конечно Между встречами есть некоторая связь но каждая из них по большей части независима А если что то будет непонятно мы с радостью введем в курс дела Также можно приходить если вы психологи или не психологи если мы знакомы или не знакомы если вы что то знаете или не знаете ничего готовы меняться или не готовы намерены выходить из зоны комфорта или не намерены и вооообще ☺😉
152,7110301,7110301,1459739993,На сайте опубликовали мою статью Жизнь после сокращения или Заметки работающего по часов в день Статья создательницы моего любимого антикафе 
153,7110301,7110301,1459581720,Новый дизайн ВК мне скорее нравится чем нет А особенно нравится календарик😊
155,7110301,7110301,1458744167,Почти все ограничения ограничения разума Если вы хотите расширить свои возможности научиться изменять своё состояние и настроение узнать больше про субличности и то как их использовать то мы ждем вас апреля мы с Алексеем будем повторять семинар тренинг ИДЕНТИЧНОСТИ Подробно прочитать о нем и записаться можно на странице предыдущей встречи Стоимость зависит от времени записи До апреля р до апреля р после р Скидки для студентов и при групповой заявке Скидки суммируются Будем ужжжасно рады репостам Приходите к нам и приходите к Юле 
157,7110301,7110301,1457903894,У нас продолжается Биографический кружок который мы с Даней наполняем разными упражнениями для анализа своего личного опыта Сегодня была странная шляпа на Дане из которой мы почти буквально доставали важные для нас истории делились ими А еще разбирались с поворотными моментами жизни и с тем что нас поддерживало когда было не слишком хорошо Мои открытия поддержка часто исходит из одного важного источника почему бы не прибегать к нему чаще можно же иногда повторять особо радовавшие в детстве события 
159,7110301,7110301,1457684710,Доступные знания 
160,7110301,7110301,1457642593,Выбрали время второй встречи марта воскресенье в часов вечера Место милое антикафе Белый лист комната Бордовая Адрес метро Добрынинская ул Валовая Как пройти Из метро повернуть налево Спуститься в подземный переход и пройти по нему налево а потом направо Выйти из перехода в том месте где наверх ведут две лестницы Вам на правую Сразу около выхода из перехода двери антикафе Поднимайтесь на третий этаж и вы на месте Скажите администратору что идете в Биографический кружок Сама встреча бесплатная но за пространство оплата по тарифам антикафе За часа это будет примерно рублей и бесконечный чай кофе и печеньки Ждем Присоединяйтесь к нам в эти выходные 
161,7110301,7110301,1457494916,Сморите какая классная штука пример того как видят текст люди с дислексией 
162,7110301,7110301,1457361293,Половина Серпуховско Тимирязевской линии закрыта На соседней с ней Калужской Рижской поезда следуют с увеличенными интервалами по возможности пользуйтесь другими станциями 
164,7110301,7110301,1456744295,Едет Майкл Уайт по Аделаиде на велосипеде а навстречу ему Дэвид Эпстон Когда они проезжают мимо друг друга Уайт поворачивается и что есть силы кричит Козел Это баран кричит в ответ Эпстон После чего Майкл врезается в этого козла а Дэвин в этого барана оченьсерьезнаяисторияпсихологии
165,7110301,7110301,1456702500,Едет Аарон Бек по Нью Йорку на велосипеде а навстречу ему Альберт Эллис Когда они проезжают мимо друг друга Эллис поворачивается и что есть силы кричит Козел Да нет же это баран кричит в ответ Бек и в этот момент врезается в этого барана оченьсерьезнаяисторияпсихологии
166,7110301,7110301,1456683970,Первая встреча Биографического кружка прошла отлично В программе были наши правила общения это организационный момент но они вызвали резонанс пятиминутная биография оказывается этого достаточно чтобы узнать о себе что то интересное аналитическая биография долгий и увлекательный процесс может быть в следующий раз участники поделятся результатами книга моей жизни а как выглядела бы ваша Спасибо всем кто был с нами Ждем новых встреч и новых открытий Присоединиться можно в любой момент Для этого вступайте во встречу и приходите в назначенное время следите за новостями 
168,7110301,7110301,1455719953,Как строились небоскребы в Америке
170,7110301,7110301,1455299113,Купил шаурму в чудесным образом уцелевшем ларьке И вкусно и грустно и некому руку подать 
171,7110301,7110301,1455040120, Что ты делаешь сегодня вечером Ошибки
174,7110301,7110301,1454154163,Примерный перевод Запрос Уважаемый У нас сейчас нет доступа в Интернет к сожалению находимся в летнем лагере но мы хотели бы получить некоторую информацию Нас интересует всё о слове ö что это за существо где живёт чем питается Так как мы в курсе что Ваша модель финасирования через рекламу шлите нам пожалуйста рекламу прямо в письме Благодарим заранее Ответ Уважаемый Тим Уважаемый Михаэль Мы благодарим Вас за Ваш запрос Может быть Вы имели в виду ö белочка Вот картинки соответствующие Вашему поисковому запросу см скан Реклама При возникновении вопросов пользуйтесь Желательно онлайн Желаем приятно провести время в летнем лагере Команда Оффлайн бета версия ◕‿◕✿ 
175,7110301,7110301,1453346623,Я тут помогал одной коллеге и заметил что в учебнике Экспериментальная психология Т В Корниловой Кэмпбелл систематически в том числе и в списке литературы именуется Дж Кэмпбеллом А он то никакой не Дж он Дональд Ё ёй Впрочем возможно в новом издании это уже исправлено не знаю 
176,7110301,7110301,1453185537,Если вы пропустили вчера рассказали подробности об истории с тренажёром для мозга который был оштрафован на млн за обман пользователей оказалось что представленные там игры вовсе не помогают мозгу развиваться Узнали кто и как исследовал действие подобных тренажёров и бывают ли игры которые действительно помогают быстрее думать 
177,7110301,7110301,1452828901,Едет Эдмунд Гуссерль по Фрайбургу на велосипеде а навстречу ему по дорожке идет козел Козел отмечает Гуссерль и врезается в этого козла Едет Карл Роджерс по Чикаго на велосипеде а навстречу ему по дорожке идет козел Козел отмечает Рождерс и объезжает этого козла оченьсерьезнаяисторияпсихологии
178,7110301,7110301,1452777503,Хорошо там где нас да
179,7110301,7110301,1452740649,Эта статья мне понравилась тем что многие хотя и не все утверждения снабжены ссылками на конкретные исследования Вот бы все журналисты так делали😊
180,7110301,7110301,1452540440,Уоооооооо Самое милое видео про Ксения Яна 
181,7110301,7110301,1452245114,В гугл переводчике теперь есть возможность перевода на язык из Звездных войн также забавен предлагаемый язык оригинала 
